What time does the restaurant open and close?,Our restaurant is open from 7:00 AM to 10:00 PM daily.
Can I see the food menu?,"Sure! We offer continental breakfast, Indian cuisine, Italian dishes, and desserts."
Do you have vegetarian options?,"Yes, we have a variety of vegetarian dishes available."
Can I order food to my room?,Absolutely! You can place room service orders through this chatbot.
What is the cancellation policy?,Cancellations made within 24 hours of check-in may be subject to a fee.
Are there any discounts for long stays?,"Yes, we offer discounts for extended stays. Contact us for details."
Can I request a late check-out?,Late check-out is subject to availability and may incur additional charges.
Do you have a loyalty program?,"Yes, we offer a loyalty program with exclusive discounts and benefits."
What safety measures are in place at the hotel?,"Our hotel follows strict safety protocols, including regular sanitization and security surveillance."
Do you provide car rental services?,"Yes, we offer car rental services. Let us know if you need a vehicle during your stay."
Can I schedule a wake-up call?,"Absolutely! Let us know your preferred time, and we will arrange a wake-up call."
What are the swimming pool hours?,The swimming pool is open from 6:00 AM to 9:00 PM.
Is there a gym in the hotel?,Yes! Our gym is equipped with modern fitness equipment and is open 24/7.
Do you offer guided tours?,"Yes, we provide guided tours to local attractions upon request."
Can I host events at the hotel?,"Certainly! We have event halls available for weddings, business meetings, and celebrations."
Does the hotel have free Wi-Fi?,Yes! Complimentary high-speed Wi-Fi is available throughout the hotel.
Are there family suites available?,"Yes, we have spacious family suites designed for comfort."
Do you have babysitting services?,"Yes, babysitting services are available upon request."
Is smoking allowed in the rooms?,"All rooms are non-smoking, but designated smoking areas are available."
Can I change my payment method after booking?,"Yes, payment methods can be adjusted before check-in."
What are the different types of rooms available?,"We offer standard rooms, deluxe rooms, suites, and family accommodations."
Can I request an extra bed?,"Yes, extra beds are available upon request. Additional charges may apply."
What are the payment options?,"We accept credit cards, debit cards, mobile wallets, and cash."
Do you have conference rooms available?,Yes! Our hotel features fully equipped conference rooms for business meetings.
Can I get a receipt for my stay?,Absolutely! We can email or print a receipt for you.
Are pets allowed in the hotel?,"Yes, we have designated pet-friendly rooms. Let us know in advance!"
What are the parking facilities?,We provide free and valet parking options for our guests.
Can I store my luggage at the hotel after checkout?,"Yes, we offer luggage storage services for short durations."
Do you provide a shuttle service?,"Yes, shuttle services are available for airport transfers and local travel."
Can I request a non-smoking room?,"Of course! All our rooms are non-smoking, but we have designated smoking areas."
Does the hotel provide disability-accessible rooms?,"Yes, we offer wheelchair-accessible rooms with necessary amenities."
Can I have an early breakfast if I have a flight?,"Yes, we offer early breakfast upon request."
Do you offer buffet or à la carte dining?,We have both buffet and à la carte options available.
Can I book a spa appointment through this chatbot?,"Yes! Let me know your preferred time, and I will schedule it for you."
What are the housekeeping hours?,Housekeeping operates from 7:00 AM to 9:00 PM. You can request extra cleaning.
Can I request special decorations for celebrations?,"Yes, we provide room decorations for birthdays, anniversaries, and special occasions."
Do you have business center facilities?,"Yes! Our business center offers printing, scanning, and meeting spaces."
Is Wi-Fi free or paid?,Wi-Fi is complimentary for all guests during their stay.
What are the hotels safety protocols?,"We have 24/7 security, CCTV monitoring, and emergency response teams."
Are there evening entertainment options at the hotel?,"Yes! We host live music, cultural events, and themed nights."
Can I bring outside food into the hotel?,"Outside food is generally not allowed, but exceptions can be made for special dietary needs."
How do I extend my stay?,You can request an extension through this chatbot or contact the front desk.
Does the hotel provide medical assistance?,"Yes, we have an on-call doctor and first-aid kits available."
What types of cuisines are available at the restaurant?,"We serve Indian, Continental, Chinese, and Italian dishes."
Are there vegetarian and vegan options?,"Yes, our restaurant offers a variety of vegetarian and vegan dishes."
What are the bar hours?,The bar is open from 5:00 PM to 12:00 AM.
Can I request a wake-up call?,"Of course! Let us know your preferred time, and we will arrange it."
Is the hotel child-friendly?,"Yes, we have family-friendly amenities, including play areas and babysitting services."
What discounts are available?,"We offer seasonal promotions, group discounts, and loyalty program benefits."
Question,Answer
What types of rooms do you offer?,"We have Standard, Deluxe, Suite, and Family rooms available."
What is the price for a Standard room?,"The price for a Standard room starts at ₹1,369 per night."
What is the price for a Deluxe room?,"A Deluxe room costs around ₹1,819 per night."
What is the price for a Suite?,"Suites are available starting at ₹4,033 per night."
Do you offer discounts for long stays?,"Yes, we provide discounts for extended stays. Contact us for details."
Are there any seasonal offers?,We have seasonal promotions and special discounts during festive periods.
Can I book a room online?,Yes! You can book a room through our website or this chatbot.
Do room prices include breakfast?,"Yes, all room prices include complimentary breakfast."
Are taxes included in the room price?,Taxes are additional and vary based on the room type.
Do you have family suites?,"Yes, we offer spacious family suites designed for comfort."
Is Wi-Fi included in the room price?,"Yes, complimentary high-speed Wi-Fi is available in all rooms."
Can I request an extra bed?,"Yes, extra beds are available upon request. Additional charges may apply."
Do you have pet-friendly rooms?,"Yes, we offer pet-friendly accommodations with special amenities."
What is the cancellation policy?,Cancellations made within 24 hours of check-in may be subject to a fee.
Can I request a late check-out?,Late check-out is subject to availability and may incur additional charges.
Do you offer honeymoon packages?,"Yes, we have special honeymoon packages with romantic room setups."
Are there rooms with a city view?,"Yes, our Deluxe and Suite rooms offer stunning city views."
Do you have wheelchair-accessible rooms?,"Yes, we provide wheelchair-accessible rooms with necessary amenities."
Can I upgrade my room after booking?,"Yes, room upgrades are available based on availability."
Do you offer hourly room bookings?,"Yes, we have flexible hourly booking options for short stays."
Question,Answer
Can I check in early?,Early check-in is subject to availability. Please contact the front desk for confirmation.
Is there an extra charge for early check-in?,Early check-in may incur additional charges depending on the hotel policy.
What is the earliest check-in time?,"Standard check-in time is 3:00 PM, but early check-in may be available from 10:00 AM."
Can I check out late?,Late check-out is subject to availability. Please inform the front desk in advance.
Is there a fee for late check-out?,Late check-out may be chargeable based on the duration of the extension.
What is the latest check-out time?,"Standard check-out time is 11:00 AM, but late check-out may be available until 2:00 PM."
Can I request early check-in while booking?,"Yes, you can request early check-in during booking, but confirmation depends on availability."
Do all room types allow early check-in?,"Early check-in is available for most room types, but premium rooms may have priority."
Can I extend my stay after check-out time?,"Yes, you can extend your stay, but additional charges may apply."
Are there discounts for late check-out?,Some hotels offer complimentary late check-out for loyalty members or long-stay guests.
How do I confirm early check-in or late check-out?,You can confirm by contacting the hotel reception or checking the booking details.
Can I check in early if I arrive at midnight?,"Hotels with 24-hour reception may allow midnight check-in, but policies vary."
Is early check-in available for group bookings?,"Yes, group bookings may have special early check-in arrangements."
Can I store my luggage if early check-in is unavailable?,"Yes, hotels usually offer luggage storage until your room is ready."
Do hotels in Tirupati offer early check-in?,"Yes, our hotel in Tirupati offers early check-in subject to availability. "
How many people can stay in a Standard room?,A Standard room accommodates up to 2 adults.
How many guests are allowed in a Deluxe room?,A Deluxe room can host up to 3 adults.
What is the occupancy limit for a Suite?,Suites can accommodate up to 4 adults.
Can I add an extra person to my booking?,"Yes, extra guests can be added based on room capacity."
What is the charge for an additional guest in a Standard room?,An extra guest in a Standard room costs ₹500 per night.
What is the fee for an additional person in a Deluxe room?,An extra person in a Deluxe room costs ₹800 per night.
How much does it cost to add a guest in a Suite?,"An additional guest in a Suite costs ₹1,200 per night."
Are children counted in the occupancy limit?,"Children under 5 years stay free, while older children may be considered as extra guests."
Can I request an extra bed for an additional guest?,"Yes, extra beds are available upon request for an additional charge."
Do family suites allow more than 4 guests?,"Yes, family suites can accommodate up to 6 guests."
Are there any discounts for group bookings?,"Yes, group bookings may qualify for special discounts."
Can I book a room for a single guest?,"Yes, all room types are available for single occupancy."
Is there a limit on the number of extra guests per room?,"Yes, each room type has a maximum occupancy limit."
Do extra guest charges include meals?,"Extra guest charges may or may not include meals, depending on the hotel policy."
Can I modify my booking to add more guests?,"Yes, you can update your booking to include additional guests."
What time does breakfast start?,Breakfast is served from 7:00 AM to 10:30 AM.
Can I get breakfast earlier than 7:00 AM?,Early breakfast is available upon request for guests with early departures.
What time does lunch service begin?,Lunch is available from 12:00 PM to 3:00 PM.
Do you offer buffet lunch?,"Yes, we have a buffet lunch option with a variety of dishes."
What time does dinner start?,Dinner service begins at 7:00 PM and ends at 10:30 PM.
Can I order dinner after 10:30 PM?,Late-night dining options are available through room service.
What time are evening snacks available?,Evening snacks are served from 4:00 PM to 6:30 PM.
Do you have a special menu for evening snacks?,"Yes, we offer light bites, sandwiches, and beverages during snack hours."
Are restaurant timings the same on weekends?,Weekend timings may vary. Please check with the restaurant for exact hours.
Can I reserve a table for dinner?,"Yes, table reservations are available for dinner service."
Do you offer all-day dining?,"Yes, select menu items are available for all-day dining."
Is breakfast included in the room price?,"Yes, complimentary breakfast is included with all room bookings."
Can I order food outside restaurant hours?,"Yes, room service is available 24/7 for select menu items."
Do you have a midnight snack menu?,"Yes, we offer a limited midnight snack menu for late-night cravings."
"Are there vegetarian options for breakfast, lunch, and dinner?","Yes, we have a variety of vegetarian dishes available for all meals."
What benefits do VIP customers receive?,"VIP customers enjoy exclusive perks such as priority check-in, complimentary upgrades, and personalized services."
Do VIP guests get free room upgrades?,"Yes, VIP guests may receive complimentary room upgrades based on availability."
Can VIP customers request special amenities?,"Absolutely! VIP guests can request personalized amenities such as premium toiletries, customized room setups, and exclusive concierge services."
Is there a dedicated lounge for VIP guests?,"Yes, we offer a private VIP lounge with refreshments and business facilities."
Do VIP customers get priority reservations?,"Yes, VIP guests receive priority for restaurant bookings, spa appointments, and event reservations."
Are there special discounts for VIP members?,"VIP members enjoy exclusive discounts on room rates, dining, and spa services."
Can VIP guests request late check-out?,"Yes, late check-out is available for VIP guests at no additional cost, subject to availability."
Do VIP customers have access to private transportation?,"Yes, we provide luxury car services and airport transfers for VIP guests."
Is there a loyalty program for VIP customers?,"Yes, our loyalty program offers tiered benefits, including free stays and exclusive offers."
Can VIP guests host private events at the hotel?,"Yes, VIP guests can book private event spaces with customized catering and decor."
Do VIP customers receive personalized greetings upon arrival?,"Yes, VIP guests are welcomed with personalized greetings and special arrangements."
Are there exclusive dining options for VIP guests?,"Yes, VIP guests have access to private dining areas and customized menus."
Can VIP customers request a personal concierge?,"Yes, a dedicated concierge is available to assist VIP guests with all their needs."
Do VIP guests get priority room service?,"Yes, VIP guests receive expedited room service with premium menu options."
Are there special security measures for VIP customers?,"Yes, we provide enhanced security and privacy measures for VIP guests."
What services does your hotel offer?,"Our hotel provides luxurious accommodations, fine dining, spa services, and concierge assistance."
Can I book a room through this chatbot?,"Yes! Please provide your check-in and check-out dates, preferred room type, and any special requests."
What are the check-in and check-out timings?,"Check-in starts at 3:00 PM, and check-out is at 11:00 AM."
Do you offer airport transfers?,"Yes, we provide airport pick-up and drop-off services. Would you like to schedule a ride?"
How can I modify my reservation?,You can modify your booking by providing your reservation details.
What are the dining options in the hotel?,"We have a multi-cuisine restaurant, a rooftop bar, and 24/7 room service."
Can I request additional amenities for my stay?,"Certainly! We offer extra towels, pillows, toiletries, and special arrangements for celebrations."
How do I contact hotel staff for urgent needs?,You can connect with the front desk or dial '0' from your room phone.
Do you have pet-friendly rooms?,Yes! We offer pet-friendly accommodations with special amenities.
What attractions are near the hotel?,"Our hotel is close to popular tourist spots including museums, shopping centers, and parks."
How do I provide feedback about my stay?,You can submit feedback through this chatbot or at the front desk upon checkout.
What time does the restaurant open and close?,Our restaurant is open from 7:00 AM to 10:00 PM daily.
Can I see the food menu?,"Sure! We offer continental breakfast, Indian cuisine, Italian dishes, and desserts."
Do you have vegetarian options?,"Yes, we have a variety of vegetarian dishes available."
Can I order food to my room?,Absolutely! You can place room service orders through this chatbot.
What types of rooms do you offer?,"We have Standard, Deluxe, Suite, and Family rooms available."
What is the price for a Standard room?,"The price for a Standard room starts at ₹1,369 per night."
What is the price for a Deluxe room?,"A Deluxe room costs around ₹1,819 per night."
What is the price for a Suite?,"Suites are available starting at ₹4,033 per night."
Do you offer discounts for long stays?,"Yes, we provide discounts for extended stays. Contact us for details."
Are there any seasonal offers?,We have seasonal promotions and special discounts during festive periods.
Can I book a room for someone else?,"Yes, you can book a room under their name using your details."
Can I check in early?,Early check-in is subject to availability. Please contact the front desk for confirmation.
Is there an extra charge for early check-in?,Early check-in may incur additional charges depending on the hotel policy.
What is the earliest check-in time?,"Standard check-in time is 3:00 PM, but early check-in may be available from 10:00 AM."
Can I check out late?,Late check-out is subject to availability. Please inform the front desk in advance.
Is there a fee for late check-out?,Late check-out may be chargeable based on the duration of the extension.
What is the latest check-out time?,"Standard check-out time is 11:00 AM, but late check-out may be available until 2:00 PM."
How many people can stay in a Standard room?,A Standard room accommodates up to 2 adults.
How many guests are allowed in a Deluxe room?,A Deluxe room can host up to 3 adults.
What is the occupancy limit for a Suite?,Suites can accommodate up to 4 adults.
Can I add an extra person to my booking?,"Yes, extra guests can be added based on room capacity."
What is the charge for an additional guest in a Standard room?,An extra guest in a Standard room costs ₹500 per night.
What is the fee for an additional person in a Deluxe room?,An extra person in a Deluxe room costs ₹800 per night.
How much does it cost to add a guest in a Suite?,"An additional guest in a Suite costs ₹1,200 per night."
Are children counted in the occupancy limit?,"Children under 5 years stay free, while older children may be considered as extra guests."
Can I request an extra bed for an additional guest?,"Yes, extra beds are available upon request for an additional charge."
What time does breakfast start?,Breakfast is served from 7:00 AM to 10:30 AM.
What time does lunch service begin?,Lunch is available from 12:00 PM to 3:00 PM.
What time does dinner start?,Dinner service begins at 7:00 PM and ends at 10:30 PM.
What time are evening snacks available?,Evening snacks are served from 4:00 PM to 6:30 PM.
Do you offer buffet or à la carte dining?,We have both buffet and à la carte options available.
Is breakfast included in the room price?,"Yes, complimentary breakfast is included with all room bookings."
Do VIP guests get free room upgrades?,"Yes, VIP guests may receive complimentary room upgrades based on availability."
Can VIP customers request special amenities?,"Absolutely! VIP guests can request personalized amenities such as premium toiletries, customized room setups, and exclusive concierge services."
Is there a dedicated lounge for VIP guests?,"Yes, we offer a private VIP lounge with refreshments and business facilities."
Do VIP customers get priority reservations?,"Yes, VIP guests receive priority for restaurant bookings, spa appointments, and event reservations."
Can VIP guests request a personal concierge?,"Yes, a dedicated concierge is available to assist VIP guests with all their needs."
